key, ar, en
commonLocaleTestLocale, تجربة, Test Locale
commonLocaleSettings, الإعدادات, Settings
commonLocaleChangeLanguage, تغيير اللغة, Change Language
commonLocaleChangeTheme, تغيير السمة, Change Theme
commonLocaleGetStarted, فلنبدأ, Get Started
commonLocaleLocation, الموقع, Location
commonLocaleWelcome, مرحباً بك, Welcome
commonLocaleFullyRemastered, بحلته الجديدة, Fully Remastered
commonLocaleSkip, تخطي, Skip
commonLocaleConfirmationCodeSent, تم إرسال رمز التحقق, Confirmation Code Sent
commonLocaleDismiss, حسناً, Dismiss
commonLocaleTermsAndConditions, الشروط والأحكام, Terms and Conditions
commonLocaleEnter, دخول, Enter
commonLocaleContinueWord, متابعة, Continue
commonLocaleSuccess, نجاح, Success
commonLocaleError, خطأ, Error
commonLocaleInfo, معلومات, Info
commonLocaleLanguageChangedSuccessfully, تم تغيير اللغة بنجاح, Language Changed Successfully
commonLocaleLanguageChangedError, حدث خطأ أثناء تغيير اللغة, Language Changed Error
commonLocaleDashboard, الرئيسية, Dashboard
commonLocaleNoInternetConnection, لا يوجد اتصال بالإنترنت, No Internet Connection
commonLocaleWelcomeTo, مرحباً بك في, Welcome to
commonLocaleFirstName, الاسم الأول, First Name
commonLocaleLastName, اللقب, Last Name
commonLocaleDateOfBirth, تاريخ الميلاد, Date of Birth
commonLocaleOptional, اختياري, Optional
commonLocaleChooseDate, اختر تاريخاً, Choose Date
commonLocaleWelcomeBack, مرحباً بعودتك, Welcome back
commonLocaleChange, تغيير, Change
